Title,Event[Start date],Event[Acronym],Event[Series],Event[Start date],Event[End date],Event[Submitted papers],Event[Accepted papers],Event[Submission Rate],Event[City],Event[State],Event[Country],Event[Field],Event[Type],Event[Homepage],EVENT[PUBLISHER],,Event[Sponsor]
ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,1992,POPL 1992,POPL,19-Jan-1992,22-Jan-1992,204,30,15%,Albuquerque,New Mexico,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl92.html,ACM,,
ACM Symposium on Principles of Programming Languages,1991,POPL 1991,POPL,21-Jan-1991,23-Jan-1991,152,31,20%,Orlando,Florida,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl91.html,ACM,,
ACM Symposium on Principles of Programming Languages,1990,POPL 1990,POPL,,,,,,San Francisco,California,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl90.html,ACM,,
ACM Symposium on Principles of Programming Languages,1989,POPL 1989,POPL,11-Jan-1989,13-Jan-1989,191,30,16%,Austin,Texas,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl89.html,ACM,,
ACM Symposium on Principles of Programming Languages,1988,POPL 1988,POPL,10-Jan-1988,13-Jan-1988,177,28,16%,San Diego,California,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl88.html,ACM,,
ACM Symposium on Principles of Programming Languages,1987,POPL 1987,POPL,21-Jan-1987,23-Jan-1987,108,29,27%,Munich,,Germany,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl87.html,ACM,,
ACM Symposium on Principles of Programming Languages,1986,POPL 1986,POPL,,,,,,St. Petersburg Beach,Florida,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl86.html,ACM,,
ACM Symposium on Principles of Programming Languages,1985,POPL 1985,POPL,14-Jan-1985,16-Jan-1985,,,,New Orleans,Louisiana,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl85.html,ACM,,
ACM Symposium on Principles of Programming Languages,1984,POPL 1984,POPL,15-Jan-1984,18-Jan-1984,,,,Salt Lake City,Utah,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl84.html,ACM,,
ACM Symposium on Principles of Programming Languages,1983,POPL 1983,POPL,24-Jan-1983,26-Jan-1983,170,28,16%,Austin,Texas,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl83.html,ACM,,
ACM Symposium on Principles of Programming Languages,1982,POPL 1982,POPL,25-Jan-1982,27-Jan-1982,121,38,31%,Albuquerque,New Mexico,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl82.html,ACM,,
ACM Symposium on Principles of Programming Languages,1981,POPL 1981,POPL,26-Jan-1981,28-Jan-1981,121,24,20%,Williamsburg,Virginia,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl81.html,ACM,,
ACM Symposium on Principles of Programming Languages,1980,POPL 1980,POPL,28-Jan-1980,30-Jan-1980,,,,Las Vegas,Nevada,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl80.html,ACM,,
ACM Symposium on Principles of Programming Languages,1979,POPL 1979,POPL,29-Jan-1979,31-Jan-1979,146,27,18%,San Antonio,Texas,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl79.html,ACM,,
ACM Symposium on Principles of Programming Languages,1978,POPL 1978,POPL,23-Jan-1978,25-Jan-1978,135,27,20%,Tucson,Arizona,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl78.html,ACM,,
ACM Symposium on Principles of Programming Languages,1977,POPL 1977,POPL,17-Jan-1977,19-Jan-1977,105,25,24%,Los Angeles,California,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl77.html,ACM,,
ACM Symposium on Principles of Programming Languages,1976,POPL 1976,POPL,19-Jan-1976,21-Jan-1976,90,20,22%,Atlanta,Georgia,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl76.html,ACM,,
ACM Symposium on Principles of Programming Languages,1975,POPL 1975,POPL,20-Jan-1975,22-Jan-1975,100,23,23%,Palo Alto,California,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl75.html,ACM,,
ACM Symposium on Principles of Programming Languages,1973,POPL 1973,POPL,1-Oct-1973,3-Oct-1973,100,22,22%,Boston,Massachusetts,USA,Programming Languages,Symposium,dblp2.uni-trier.de/db/conf/popl/popl73.html,ACM,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
